,host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
11,f,strict_14_with_grace_period,f,47,Haight Ashbury,94117.0,37.771873721790115,-122.43859113023431,Apartment,Entire home/apt,3,1.0,3.0,3.0,Real Bed,30,36,89.0,9.0,9.0,10.0,9.0,9.0,9.0,177.0
12,f,strict_14_with_grace_period,f,47,Western Addition,94102.0,37.77355001557393,-122.42436191545026,Apartment,Entire home/apt,5,2.0,3.0,3.0,Real Bed,30,14,91.0,10.0,10.0,10.0,9.0,10.0,9.0,194.0
13,f,strict_14_with_grace_period,f,47,Downtown/Civic Center,94102.0,37.78573889680189,-122.40797710199776,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,30,18,91.0,10.0,9.0,10.0,10.0,10.0,9.0,139.0
14,f,strict_14_with_grace_period,f,10,Haight Ashbury,94117.0,37.77018946066375,-122.44594218370486,Apartment,Private room,2,4.0,1.0,2.0,Real Bed,32,6,80.0,9.0,8.0,9.0,10.0,9.0,7.0,85.0
15,f,strict_14_with_grace_period,f,10,Haight Ashbury,94117.0,37.76894262424544,-122.44778223886064,Apartment,Private room,2,3.0,1.0,2.0,Real Bed,32,5,64.0,6.0,6.0,10.0,9.0,9.0,8.0,85.0
16,t,strict_14_with_grace_period,t,1,Castro/Upper Market,94114.0,37.760745481792476,-122.4303240593966,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,3,383,98.0,10.0,10.0,10.0,10.0,10.0,10.0,79.0
17,f,strict_14_with_grace_period,f,2,Inner Sunset,94117.0,37.762031017197216,-122.45454953525291,Townhouse,Entire home/apt,5,1.0,2.0,5.0,Real Bed,30,16,95.0,9.0,9.0,9.0,9.0,9.0,9.0,136.0
18,f,moderate,f,1,Mission,94110.0,37.754906698626314,-122.42245501922535,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,3,97,98.0,10.0,9.0,10.0,10.0,10.0,9.0,215.0
19,f,strict_14_with_grace_period,f,3,South of Market,94105.0,37.78646668394753,-122.39071696982845,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,35,14,96.0,10.0,10.0,10.0,10.0,10.0,9.0,450.0
20,f,strict_14_with_grace_period,f,1,Noe Valley,94114.0,37.74888370930066,-122.42982374746445,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,30,60,96.0,10.0,10.0,10.0,10.0,10.0,9.0,107.0
21,t,strict_14_with_grace_period,f,3,Western Addition,94117.0,37.77252151838996,-122.43215647138364,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,3,350,97.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0
22,t,moderate,f,1,Mission,94110.0,37.76348966609621,-122.41517400287556,Guest suite,Entire home/apt,2,1.0,0.0,1.0,Real Bed,5,226,96.0,10.0,10.0,10.0,10.0,9.0,9.0,198.0
23,t,moderate,f,1,Nob Hill,94133.0,37.79579579428225,-122.41533449205014,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,118,98.0,10.0,9.0,10.0,10.0,10.0,10.0,125.0
24,f,strict_14_with_grace_period,f,10,Haight Ashbury,94117.0,37.76480029761001,-122.45251322942758,Apartment,Private room,2,4.0,1.0,1.0,Real Bed,32,14,78.0,8.0,8.0,10.0,10.0,10.0,7.0,65.0
25,f,moderate,t,1,Mission,94110.0,37.75065032945569,-122.41983820914385,Guest suite,Entire home/apt,5,1.0,2.0,4.0,Real Bed,1,107,97.0,10.0,10.0,10.0,10.0,10.0,10.0,225.0
26,t,strict_14_with_grace_period,t,1,Bernal Heights,94110.0,37.74556318786063,-122.41206808320706,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,3,232,98.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
27,t,strict_14_with_grace_period,f,1,Castro/Upper Market,94114.0,37.759630163946134,-122.44143232729759,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,3,340,97.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
28,t,strict_14_with_grace_period,t,3,Mission,94110.0,37.751455556926935,-122.41247816738357,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,65,95.0,10.0,10.0,10.0,10.0,9.0,9.0,95.0
29,t,moderate,f,1,Noe Valley,94114.0,37.748848181981714,-122.4367259832525,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,213,92.0,9.0,9.0,10.0,10.0,10.0,9.0,180.0
30,t,strict_14_with_grace_period,f,2,Potrero Hill,94107.0,37.75644595380928,-122.3991023222087,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,2,266,98.0,10.0,10.0,10.0,10.0,10.0,9.0,155.0
31,t,flexible,f,1,Haight Ashbury,94117.0,37.771617598397214,-122.43836201290921,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,1,177,96.0,10.0,9.0,10.0,10.0,10.0,9.0,79.0
32,t,moderate,t,3,Western Addition,94115.0,37.787164645590025,-122.43386112927004,Guest suite,Entire home/apt,4,1.0,1.0,2.0,Real Bed,5,270,95.0,10.0,10.0,10.0,10.0,10.0,10.0,195.0
33,t,flexible,f,1,Noe Valley,94131.0,37.74187613051245,-122.43121541816403,House,Private room,2,1.0,1.0,1.0,Real Bed,5,24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
34,f,strict_14_with_grace_period,f,1,Presidio Heights,94118.0,37.789629921942776,-122.44877780669668,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30,16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
35,t,strict_14_with_grace_period,f,3,Western Addition,94117.0,37.77728949301072,-122.43421149153566,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,2,388,98.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0
36,t,moderate,f,1,Potrero Hill,94107.0,37.76212201623429,-122.39540903672585,House,Private room,3,1.0,0.0,1.0,Real Bed,4,295,95.0,10.0,10.0,10.0,10.0,10.0,9.0,125.0
37,t,strict_14_with_grace_period,f,3,Western Addition,94115.0,37.78894736246063,-122.43030637005006,House,Private room,2,1.5,1.0,1.0,Real Bed,2,74,91.0,9.0,9.0,10.0,10.0,10.0,9.0,110.0
38,f,strict_14_with_grace_period,t,2,Western Addition,94117.0,37.774778481770866,-122.43149873605402,Apartment,Entire home/apt,10,2.0,4.0,7.0,Real Bed,2,29,89.0,9.0,8.0,9.0,9.0,9.0,9.0,393.0
39,t,moderate,f,1,Castro/Upper Market,94114.0,37.76297967565378,-122.43136441227804,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,129,100.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
40,t,strict_14_with_grace_period,t,2,Mission,94110.0,37.76097556330237,-122.42158079196122,Condominium,Private room,4,1.0,1.0,2.0,Real Bed,1,25,96.0,10.0,10.0,10.0,10.0,10.0,9.0,199.0
41,t,strict_14_with_grace_period,f,3,Bernal Heights,94110.0,37.737290095408824,-122.41163474069259,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,7,12,96.0,10.0,10.0,10.0,10.0,9.0,10.0,210.0
42,f,flexible,f,1,Outer Richmond,94121.0,37.77930831937839,-122.50518320762501,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,33,99.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
43,f,strict_14_with_grace_period,f,1,Bernal Heights,94110.0,37.740254505653716,-122.41259087293636,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,30,93,96.0,10.0,10.0,10.0,10.0,9.0,9.0,150.0
44,t,strict_14_with_grace_period,t,4,Potrero Hill,94107.0,37.76514606125046,-122.3975009426848,Guest suite,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,612,99.0,10.0,10.0,10.0,10.0,10.0,10.0,230.0
45,t,strict_14_with_grace_period,t,4,Potrero Hill,94107.0,37.76525618558157,-122.39730470636793,Guest suite,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,558,99.0,10.0,10.0,10.0,10.0,10.0,10.0,230.0
46,t,moderate,f,4,Presidio Heights,94118.0,37.78197461686888,-122.45809229686044,House,Private room,2,1.0,1.0,1.0,Real Bed,2,192,96.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
47,f,super_strict_30,f,30,Noe Valley,94110.0,37.74830167460932,-122.4248849594586,Guest suite,Entire home/apt,2,1.0,1.0,2.0,Real Bed,30,20,96.0,9.0,10.0,10.0,10.0,10.0,9.0,107.0
48,f,moderate,f,2,Bernal Heights,94110.0,37.74092694679287,-122.42054856183594,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,30,21,98.0,10.0,10.0,10.0,10.0,10.0,9.0,100.0
49,t,strict_14_with_grace_period,t,7,Mission,94110.0,37.76016368956081,-122.41969302856536,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,96,92.0,9.0,9.0,10.0,10.0,9.0,9.0,117.0
50,t,moderate,f,1,Presidio Heights,94118.0,37.782549488439756,-122.44843815751051,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30,136,96.0,10.0,9.0,10.0,10.0,10.0,10.0,83.0
51,f,flexible,f,3,Castro/Upper Market,94114.0,37.76125009086864,-122.43335472254522,House,Entire home/apt,3,1.0,1.0,1.0,Real Bed,4,40,94.0,10.0,9.0,10.0,10.0,10.0,10.0,159.0
52,t,moderate,f,1,Bernal Heights,94110.0,37.74082733936336,-122.4176300810205,House,Private room,2,2.0,1.0,1.0,Real Bed,2,219,98.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0
53,t,moderate,f,1,Mission,94110.0,37.75610669111234,-122.41866188454807,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,3,71,96.0,10.0,10.0,10.0,10.0,9.0,9.0,290.0
54,f,moderate,f,1,Glen Park,94131.0,37.735568322107156,-122.43301594389573,House,Entire home/apt,3,1.0,0.0,2.0,Real Bed,30,146,89.0,9.0,9.0,9.0,9.0,9.0,9.0,126.0
55,f,strict_14_with_grace_period,t,1,Nob Hill,94109.0,37.79001328977593,-122.4129160022777,Condominium,Entire home/apt,3,1.0,1.0,1.0,Real Bed,30,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
56,f,super_strict_30,f,30,Bernal Heights,94110.0,37.73355829915958,-122.4185132377998,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,30,6,93.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
57,f,super_strict_30,f,30,Bernal Heights,94110.0,37.734043600057895,-122.41781290096887,House,Entire home/apt,2,1.0,1.0,2.0,Real Bed,30,4,87.0,9.0,8.0,10.0,10.0,8.0,7.0,85.0
58,f,moderate,f,1,Mission,94110.0,37.75117093817389,-122.41325858403587,Apartment,Entire home/apt,2,1.5,1.0,1.0,Futon,30,9,89.0,9.0,8.0,10.0,10.0,10.0,9.0,91.0
59,f,super_strict_30,f,30,Potrero Hill,94107.0,37.75447178428228,-122.3881318306828,Guest suite,Entire home/apt,4,1.0,2.0,2.0,Real Bed,30,2,80.0,5.0,8.0,10.0,8.0,7.0,8.0,150.0
60,f,super_strict_30,f,30,Twin Peaks,94131.0,37.75191264174378,-122.44385363370672,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,30,5,88.0,9.0,9.0,10.0,10.0,8.0,8.0,120.0
61,f,super_strict_30,f,30,Haight Ashbury,94117.0,37.77271620117503,-122.44083686596024,Guest suite,Entire home/apt,3,1.0,2.0,2.0,Real Bed,30,8,56.0,8.0,7.0,8.0,7.0,7.0,7.0,120.0
62,t,strict_14_with_grace_period,f,3,Mission,94110.0,37.751450243931615,-122.41206984700956,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,279,97.0,10.0,10.0,10.0,10.0,9.0,9.0,95.0
63,f,strict_14_with_grace_period,f,2,Mission,94110.0,37.751208534907924,-122.4216450325051,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,31,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
64,f,moderate,f,3,Castro/Upper Market,94114.0,37.76068103780288,-122.43330627768971,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,3,118,94.0,9.0,9.0,10.0,10.0,10.0,9.0,116.0
65,t,moderate,t,3,Western Addition,94117.0,37.77248109626596,-122.4301612797086,House,Private room,2,3.0,1.0,1.0,Real Bed,2,77,95.0,10.0,10.0,10.0,9.0,10.0,9.0,125.0
66,f,strict_14_with_grace_period,f,1,Ocean View,94127.0,37.725357319421676,-122.46861057405347,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,28,97.0,10.0,10.0,10.0,10.0,9.0,10.0,78.0
67,t,moderate,f,9,Pacific Heights,94109.0,37.79250377189508,-122.42431221967043,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,25,96.0,10.0,9.0,10.0,10.0,10.0,10.0,120.0
68,f,moderate,f,2,South of Market,94103.0,37.771163291931664,-122.42199475971245,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,149,99.0,10.0,10.0,10.0,10.0,10.0,10.0,180.0
69,f,strict_14_with_grace_period,t,1,Western Addition,94117.0,37.771214598433964,-122.42833896267528,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,30,104,98.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
70,t,moderate,f,9,Pacific Heights,94109.0,37.79311697274764,-122.42599835412355,Apartment,Private room,1,0.0,1.0,1.0,Real Bed,30,158,92.0,10.0,9.0,10.0,10.0,10.0,9.0,55.0
71,f,moderate,f,1,Nob Hill,94133.0,37.79666781067421,-122.4127171205569,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,30,166,89.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0
72,t,strict_14_with_grace_period,f,3,Bernal Heights,94110.0,37.73877673960574,-122.41189493274796,House,Private room,2,1.0,1.0,1.0,Real Bed,3,122,97.0,10.0,10.0,10.0,10.0,9.0,10.0,90.0
73,f,strict_14_with_grace_period,f,2,Downtown/Civic Center,94109.0,37.78775469122635,-122.41634362452434,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,30,231,95.0,10.0,10.0,10.0,10.0,8.0,9.0,163.0
74,f,strict_14_with_grace_period,t,1,Financial District,94104.0,37.793300873764636,-122.40079409170286,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,17,89.0,10.0,9.0,9.0,10.0,10.0,10.0,200.0
75,t,moderate,f,9,Pacific Heights,94109.0,37.791664463998366,-122.42649785318217,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,37,93.0,9.0,9.0,10.0,10.0,10.0,9.0,115.0
76,f,strict_14_with_grace_period,f,4,Outer Richmond,94121.0,37.77959492929261,-122.48618748703613,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,30,10,94.0,10.0,10.0,10.0,10.0,9.0,10.0,110.0
77,f,strict_14_with_grace_period,f,4,Twin Peaks,94131.0,37.748894023606574,-122.44478571052342,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,30,26,95.0,10.0,10.0,10.0,10.0,9.0,9.0,106.0
78,t,moderate,f,9,Pacific Heights,94109.0,37.7921566860583,-122.42458175015635,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,30,120,92.0,9.0,8.0,10.0,10.0,10.0,9.0,55.0
79,f,moderate,f,1,Haight Ashbury,94117.0,37.7745946756915,-122.43922880779158,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,31,152,99.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0
80,f,strict_14_with_grace_period,f,1,Bernal Heights,94110.0,37.7472029202085,-122.41443017005629,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,212,92.0,10.0,9.0,10.0,9.0,9.0,9.0,175.0
81,f,strict_14_with_grace_period,t,4,Mission,94110.0,37.75762488503674,-122.41932566984038,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,2,107,94.0,10.0,9.0,10.0,10.0,10.0,9.0,99.0
82,t,moderate,f,1,Noe Valley,94131.0,37.7456548107698,-122.42864380484687,Guest suite,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,289,98.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
83,f,moderate,t,4,Russian Hill,94133.0,37.80310149636796,-122.4159579495255,Condominium,Private room,4,2.0,1.0,1.0,Real Bed,2,215,96.0,10.0,10.0,10.0,10.0,10.0,9.0,109.0
84,t,flexible,t,1,Bernal Heights,94110.0,37.74208535134401,-122.41408795198386,Cottage,Private room,2,1.0,1.0,1.0,Futon,2,182,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
85,f,strict_14_with_grace_period,f,1,Outer Sunset,94122.0,37.756735430951686,-122.4917779247513,House,Private room,2,1.0,1.0,1.0,Real Bed,60,1,20.0,10.0,10.0,10.0,2.0,10.0,10.0,100.0
86,t,moderate,t,2,North Beach,94133.0,37.80240771165711,-122.40925349201656,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,2,188,98.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
87,t,moderate,f,2,Glen Park,94131.0,37.74182582587041,-122.42993120028237,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,3,35,97.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
88,f,flexible,f,1,Mission,94110.0,37.76245499615136,-122.42432107362413,House,Entire home/apt,6,2.5,3.0,4.0,Real Bed,3,52,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1100.0
89,t,strict_14_with_grace_period,t,4,Mission,94110.0,37.749257791368365,-122.41397519022051,Guest suite,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,282,92.0,9.0,9.0,10.0,10.0,9.0,9.0,166.0
90,f,strict_14_with_grace_period,t,4,Mission,94110.0,37.75399608902932,-122.41770632143594,Guest suite,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,205,93.0,9.0,9.0,10.0,10.0,10.0,9.0,125.0
91,f,flexible,f,1,Marina,94123.0,37.80317360919436,-122.42874068498821,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,30,64,99.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
92,f,strict_14_with_grace_period,f,1,Inner Richmond,94121.0,37.77797943313199,-122.47812392128417,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,30,96,83.0,9.0,9.0,10.0,9.0,9.0,8.0,95.0
93,f,super_strict_30,f,30,Outer Richmond,94121.0,37.777186052227385,-122.50906016719796,Apartment,Entire home/apt,6,2.0,3.0,4.0,Real Bed,30,12,96.0,9.0,10.0,10.0,10.0,9.0,9.0,216.0
94,t,strict_14_with_grace_period,t,7,Mission,94110.0,37.75425725549017,-122.42386605698998,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,31,35,99.0,10.0,10.0,10.0,10.0,10.0,9.0,326.0
95,f,moderate,f,1,Inner Richmond,94118.0,37.774419837277094,-122.46318942318709,House,Entire home/apt,2,1.0,2.0,2.0,Real Bed,30,50,98.0,10.0,10.0,10.0,10.0,10.0,9.0,80.0
96,f,strict_14_with_grace_period,f,40,Excelsior,94112.0,37.73026801880825,-122.426443191646,House,Private room,2,1.0,1.0,1.0,Real Bed,30,39,91.0,9.0,9.0,10.0,9.0,9.0,9.0,46.0
97,f,strict_14_with_grace_period,f,40,Excelsior,94112.0,37.73128161034925,-122.42478400335014,House,Private room,2,1.0,1.0,1.0,Real Bed,30,26,82.0,8.0,8.0,8.0,9.0,8.0,8.0,40.0
98,f,super_strict_30,f,30,Seacliff,94121.0,37.77706906926253,-122.50923187258286,Apartment,Entire home/apt,4,2.0,3.0,3.0,Real Bed,30,7,93.0,9.0,8.0,9.0,9.0,9.0,8.0,170.0
99,f,strict_14_with_grace_period,f,2,Bernal Heights,94110.0,37.74527429273749,-122.42424032456832,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,31,10,98.0,10.0,10.0,10.0,10.0,10.0,10.0,108.0
100,f,strict_14_with_grace_period,f,20,Chinatown,94108.0,37.79363898204185,-122.40634723482724,House,Shared room,1,2.5,1.0,2.0,Real Bed,30,12,92.0,9.0,8.0,9.0,9.0,9.0,9.0,30.0
101,f,flexible,t,20,Financial District,94111.0,37.79446982345703,-122.40450489784357,Hostel,Shared room,1,1.0,1.0,1.0,Real Bed,1,340,92.0,9.0,9.0,10.0,10.0,10.0,9.0,45.0
102,t,flexible,f,1,Bernal Heights,94110.0,37.74577518746264,-122.40841196868364,Guest suite,Private room,2,1.0,1.0,1.0,Real Bed,3,104,98.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0
103,f,moderate,f,1,Inner Richmond,94118.0,37.77624826509971,-122.46465687469065,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,30,2,60.0,9.0,8.0,10.0,10.0,8.0,8.0,80.0
104,f,strict_14_with_grace_period,f,12,Western Addition,94117.0,37.775181247967524,-122.43334092158028,Apartment,Entire home/apt,8,1.0,1.0,4.0,Real Bed,30,64,89.0,9.0,8.0,10.0,9.0,10.0,9.0,100.0
105,f,flexible,t,20,Financial District,94111.0,37.79308771358162,-122.40443145073387,Hostel,Shared room,2,1.0,1.0,1.0,Real Bed,1,342,94.0,9.0,9.0,10.0,10.0,10.0,9.0,38.0
106,f,strict_14_with_grace_period,f,12,Western Addition,94117.0,37.77587983423838,-122.43143095984578,Apartment,Entire home/apt,6,1.0,1.0,3.0,Real Bed,30,49,89.0,9.0,9.0,10.0,9.0,10.0,9.0,95.0
107,f,moderate,f,1,South of Market,94103.0,37.77025729875716,-122.41854672356712,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,30,99.0,10.0,10.0,10.0,10.0,8.0,9.0,270.0
108,f,strict_14_with_grace_period,f,12,Western Addition,94117.0,37.773876709923954,-122.43297568688288,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,30,17,96.0,9.0,9.0,10.0,10.0,10.0,9.0,120.0
109,f,strict_14_with_grace_period,f,40,Excelsior,94112.0,37.73137082430299,-122.42531805584379,House,Private room,2,1.0,1.0,1.0,Real Bed,30,34,86.0,9.0,8.0,9.0,9.0,8.0,9.0,40.0
110,f,strict_14_with_grace_period,f,40,Excelsior,94112.0,37.73127948759723,-122.424726996644,House,Private room,2,1.0,1.0,1.0,Real Bed,30,9,100.0,9.0,9.0,10.0,10.0,9.0,9.0,35.0
111,f,strict_14_with_grace_period,f,40,Excelsior,94112.0,37.7304802544081,-122.42493583612392,House,Private room,2,1.0,1.0,1.0,Real Bed,30,33,90.0,9.0,8.0,9.0,10.0,8.0,9.0,40.0
112,t,moderate,f,1,Glen Park,94131.0,37.73838179478437,-122.43375157200887,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,3,261,97.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
113,f,strict_14_with_grace_period,f,40,Excelsior,94112.0,37.73133675895826,-122.42456556245136,House,Private room,3,1.0,1.0,1.0,Real Bed,30,20,80.0,7.0,8.0,9.0,8.0,8.0,8.0,49.0
114,f,strict_14_with_grace_period,t,4,Mission,94110.0,37.75615409729817,-122.41927153123531,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,2,73,94.0,9.0,9.0,10.0,10.0,10.0,9.0,75.0
115,f,moderate,f,1,Haight Ashbury,94117.0,37.77065365786201,-122.44252070747329,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,30,11,98.0,10.0,10.0,9.0,9.0,9.0,10.0,140.0
116,f,moderate,f,1,Western Addition,94115.0,37.78493236128104,-122.44617874146972,Condominium,Entire home/apt,4,1.0,1.0,2.0,Real Bed,30,12,92.0,10.0,9.0,10.0,10.0,10.0,9.0,83.0
117,f,strict_14_with_grace_period,f,40,Excelsior,94112.0,37.731521543095994,-122.42547026238549,House,Private room,3,1.0,1.0,1.0,Real Bed,30,19,78.0,8.0,7.0,8.0,9.0,8.0,8.0,40.0
118,f,strict_14_with_grace_period,f,1,Downtown/Civic Center,94102.0,37.780246825684266,-122.41309674864809,Loft,Entire home/apt,1,1.0,1.0,1.0,Real Bed,30,14,97.0,10.0,10.0,10.0,10.0,8.0,9.0,250.0
119,f,moderate,t,1,Bernal Heights,94110.0,37.73429819825516,-122.42092134075443,House,Private room,2,1.0,1.0,1.0,Real Bed,3,368,92.0,9.0,9.0,10.0,10.0,9.0,9.0,115.0
120,f,moderate,f,1,Western Addition,94115.0,37.78528002426264,-122.44358154469023,House,Private room,1,1.0,1.0,1.0,Real Bed,1,84,97.0,10.0,10.0,10.0,10.0,9.0,9.0,90.0
121,f,super_strict_30,f,30,Outer Richmond,94121.0,37.774825536612354,-122.5095180808837,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,30,6,100.0,10.0,10.0,9.0,9.0,9.0,9.0,85.0
